barcode,name,estilo,terex2_stock
7003416070011,RENO 12 PRO NEGRO SWAROVSKY CON MICA,SWAROVSKY CON MICA,10
7003414520044,RENO 12 ROSA SWAROVSKY CON MICA,SWAROVSKY CON MICA,10
7003415060235,RENO 13F VERDE PISTACHE SWAROVSKY CON MICA,SWAROVSKY CON MICA,6
7003415140173,RENO 13 MORADO SWAROVSKY CON MICA,SWAROVSKY CON MICA,4
7003415140012,RENO 13 NEGRO SWAROVSKY CON MICA,SWAROVSKY CON MICA,10
7003415140043,RENO 13 ROSA SWAROVSKY CON MICA,SWAROVSKY CON MICA,12
7003415140234,RENO 13 VERDE PISTACHE SWAROVSKY CON MICA,SWAROVSKY CON MICA,25
7003415621313,RENO 14F BLANCO SWAROVSKY CON MICA,SWAROVSKY CON MICA,2
7003414670046,V40 LITE ROSA SWAROVSKY CON MICA,SWAROVSKY CON MICA,5
7003414670237,V40 LITE VERDE PISTACHE SWAROVSKY CON MICA,SWAROVSKY CON MICA,14
7003414680175,V40 MORADO SWAROVSKY CON MICA,SWAROVSKY CON MICA,17
7003414680014,V40 NEGRO SWAROVSKY CON MICA,SWAROVSKY CON MICA,17
7003414680045,V40 ROSA SWAROVSKY CON MICA,SWAROVSKY CON MICA,11
7003415250018,V50 LITE NEGRO SWAROVSKY CON MICA,SWAROVSKY CON MICA,2
7003415250049,V50 LITE ROSA SWAROVSKY CON MICA,SWAROVSKY CON MICA,3
7003415250230,V50 LITE VERDE PISTACHE SWAROVSKY CON MICA,SWAROVSKY CON MICA,10
7003415220172,V50 MORADO SWAROVSKY CON MICA,SWAROVSKY CON MICA,25
7003415220011,V50 NEGRO SWAROVSKY CON MICA,SWAROVSKY CON MICA,21
7003415220042,V50 ROSA SWAROVSKY CON MICA,SWAROVSKY CON MICA,28
7003415220233,V50 VERDE PISTACHE SWAROVSKY CON MICA,SWAROVSKY CON MICA,35
7003415280176,Y04 MORADO SWAROVSKY CON MICA,SWAROVSKY CON MICA,13
7003415280015,Y04 NEGRO SWAROVSKY CON MICA,SWAROVSKY CON MICA,4
7003415280046,Y04 ROSA SWAROVSKY CON MICA,SWAROVSKY CON MICA,6
7003415280237,Y04 VERDE PISTACHE SWAROVSKY CON MICA,SWAROVSKY CON MICA,27
7003414130045,ZTE V30 VITA ROSA SWAROVSKY CON MICA,SWAROVSKY CON MICA,4
7001655410018,IPHONE 17 PRO MAX NEGRO YU MAG 5,YU MAG 5,1
7001665430051,IPHONE 17 PRO AZUL MARINO YU MAG 6,YU MAG 6,2
7001665410053,IPHONE 17 PRO MAX AZUL MARINO YU MAG 6,YU MAG 6,10
7001665410190,IPHONE 17 PRO MAX CAFE YU MAG 6,YU MAG 6,22
7001665410176,IPHONE 17 PRO MAX MORADO YU MAG 6,YU MAG 6,20
7001665410183,IPHONE 17 PRO MAX NARANJA YU MAG 6,YU MAG 6,1
7001665410015,IPHONE 17 PRO MAX NEGRO YU MAG 6,YU MAG 6,7
7001665410046,IPHONE 17 PRO MAX ROSA YU MAG 6,YU MAG 6,16
7001665220041,V50 ROSA YU MAG 6,YU MAG 6,10
7001675410197,IPHONE 17 PRO MAX CAFE YU MAG 7,YU MAG 7,14
7001675410180,IPHONE 17 PRO MAX NARANJA YU MAG 7,YU MAG 7,2
